1,2022-12-06,København,BUTTERFLY,6.51
1,2022-12-06,København,CRAWL,8.32
1,2022-12-06,København,RYGCRAWL,8.32
1,2022-12-06,København,BRYSTSVOEMNING,2.32
1,1990-01-01,København,CRAWL,3.1
1,2022-12-08,Brøndby,CRAWL,3.1
2,2022-12-06,København,BUTTERFLY,9.32
2,2022-12-06,København,CRAWL,5.51
2,2022-12-06,København,RYGCRAWL,7.51
2,2022-12-06,København,BRYSTSVOEMNING,7.51
3,2022-12-06,København,BUTTERFLY,10.32
3,2022-12-06,København,CRAWL,7.22
3,2022-12-06,København,RYGCRAWL,3.22
3,2022-12-06,København,BRYSTSVOEMNING,9.22
4,2022-12-06,København,BUTTERFLY,8.22
4,2022-12-06,København,CRAWL,9.32
4,2022-12-06,København,RYGCRAWL,1.32
4,2022-12-06,København,BRYSTSVOEMNING,5.32
5,2022-12-06,København,BUTTERFLY,11.91
5,2022-12-06,København,CRAWL,10.91
5,2022-12-06,København,RYGCRAWL,2.91
5,2022-12-06,København,BRYSTSVOEMNING,1.91
